"MTU","Out Area","In Area","Physical Flow (MW)"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|CH","BZN|FR","845.34"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|FR","BZN|DE-LU","19.79"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|DE-LU","BZN|FR","0.00"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|FR","BZN|ES","0.00"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|ES","BZN|FR","853.38"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|FR","BZN|GB","3462.76"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|GB","BZN|FR","0.00"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|FR","BZN|GB(ElecLink)","722.00"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|FR","BZN|GB(IFA)","1722.42"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|FR","BZN|GB(IFA2)","1018.35"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|FR","BZN|IT-North","2372.14"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|IT-North","BZN|FR","0.00"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|FR","BZN|BE","3534.53"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|BE","BZN|FR","0.00"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|FR","BZN|CH","0.00"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|CH","BZN|FR","104.76"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|FR","BZN|DE-LU","497.39"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|DE-LU","BZN|FR","0.00"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|FR","BZN|ES","0.00"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|ES","BZN|FR","795.24"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|FR","BZN|GB","3249.55"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|GB","BZN|FR","0.00"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|FR","BZN|GB(ElecLink)","710.00"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|FR","BZN|GB(IFA)","1514.20"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|FR","BZN|GB(IFA2)","1025.34"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|FR","BZN|IT-North","2683.82"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|IT-North","BZN|FR","0.00"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|FR","BZN|BE","3437.48"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|BE","BZN|FR","0.00"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|FR","BZN|CH","397.99"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|CH","BZN|FR","0.00"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|FR","BZN|DE-LU","1216.36"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|DE-LU","BZN|FR","0.00"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|FR","BZN|ES","0.00"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|ES","BZN|FR","421.94"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|FR","BZN|GB","3469.06"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|GB","BZN|FR","0.00"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|FR","BZN|GB(ElecLink)","725.00"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|FR","BZN|GB(IFA)","1718.59"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|FR","BZN|GB(IFA2)","1025.47"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|FR","BZN|IT-North","2863.47"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|IT-North","BZN|FR","0.00"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|FR","BZN|BE","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|BE","BZN|FR","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|FR","BZN|CH","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|CH","BZN|FR","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|FR","BZN|DE-LU","-"
